,text,reason,label
1114,could little clearer voice control,want better voice control,1
2027,many bug app always hang,app keep hang,1
1128,file attachment share chat unavailable android,want share file chat,1
1582,connect tv,unable watch smart tv,1
1803,videos buffer since time download app,download videos buffer,1
367,app share sound time screen share could help,want send audio,1
1331,register devices,want register devices,1
1182,delete apps install,want delete apps,1
944,get chance pass dm teacher,want pass dm teacher,1
1953,return show watch often start episode already see,unable sync watch episodes,1
1639,use stream applications hotstar show problem,unable access live tv,1
337,good add feature,want feature,1
795,network stability still poor,network stability poor,1
1014,good small business,good small business,1
1537,use background video,use background video,1
1633,netflix might take losses much better view experience,netflix better,1
933,get tune anthem,want hear anthem,1
1483,good app keep interact school work,good school work,1
1222,help improve quality lgii,improve quality lgii,1
1533,know get picture,want get picture,1
686,hope creative manufacturers add block function mind match trg worth,want block function,1
313,basically try add contact work,want add contact,1
1573,watch ipl,unable view ipl match,1
1097,change background model class,want change background model class,1
1494,add share options,want add share options,1
656,use zoom online class super convenient get stick,use zoom online class good,1
864,virtual background options even settings,virtual background feature,1
1886,watch ipl match app keep crash every,app crash watch ipl match,1
941,new update consume data,new update consume data,1
1719,log enter app,get auto log frequently,1
423,get conference log,want login phone,1
394,talk class,want speak,1
1352,several time try enter conference link give give error turn pc go,want enter conference link,1
85,worst app online class,perfect online class,1
1849,videos freeze audio still play,screen freeze audio continue,1
827,call get disconnect app restart,call get disconnect app restart,1
1437,need listen spanish language thank,want spanish language support,1
568,know put filter know put photos entrance turn camera,want apply filter put photos entrance,1
1987,disney plethora different program elite tv set ever see would highly recommend everyone,app good lot show,1
1663,sometimes app crash restart phone,mobile app crash frequently,1
223,game lag lot graphics bad,graphics low gameplay bad,1
1996,go full screen anymore latest update android operate system,unable use full screen android,1
1722,visit hulu ipad,unable use hulu ios,1
1528,unable configure anything,want configure anything,1
661,option use breakout room,want enter breakout room,1
2020,please fix moto screen issue,face screen compatibility issue moto,1
1632,application work shockingly badly,app many errors,1
126,latest version best,latest update good,1
1329,specific problems transition vertical axis horizontal axis disable application,transition vertical axis horizontal axis disable application,1
889,make app unusable,app useful,1
1427,recommend application download take lot space lot data,data memory consumption high,1
358,good app background,want view background,1
522,open voice disable image enough either,want open voice,1
2048,love watch movies childhood little girl,good watch childhood movies,1
1932,worst app cannot show ipl free,unable view ipl free,1
1907,would great auto play next episode work,want auto play next episode option,1
52,add background feature mobile,unable change background iphone,1
1371,write code wrong impossible register,code wrong,1
520,video background yet,unable see background video,1
1651,like app remove extra ads,want remove ads,1
1165,please add new feauters app,want add feauters,1
2042,app support homosexuality totally unfair,app promote homosexuality,1
1421,miss information unfriendly,miss information bad,1
1390,program constantly crash internet stable,app crash internet stable,1
525,well set account try joint zoom meet keep tell switch account let change name photo impress,want join meet change name photo,1
104,tell eligible sign time,receive eligible sign message,1
1306,sound work,sound work,1
237,older version far better new,previous version better,1
789,person log zoom use mobile see file chat,want see file chat,1
1060,also try please add new feature background wallpaper feature like,want add background wallpaper feature,1
1492,enter maximum people,want enter maximum number people,1
581,connect people play minecraft work,want contact people,1
495,best wish creativity team developers,good creativity,1
1564,take long time open app,app slow load,1
1532,zoom back phone,want zoom back phone,1
1361,app score get lower lower,app score get lower,1
1170,app easy log kid daughter like app,easy login kid,1
1887,one worst apps use options watch cricket us,bad app watch cricket,1
998,zoom android version help discus friends partner,zoom android version good discus,1
2043,also lately hulu load episodes queue show,unable view list episodes hulu,1
1379,another brilliant development russian programmers students teachers break brain everything work everyone,russian programmers good,1
227,cool convenient especially distance learn,good app distance learn,1
252,bad app give minutes meet,want conduct meet minutes,1
2012,cricket highlight run properly,unable play cricket highlight,1
1768,link cell phone tv,unable cast video cell phone tv,1
466,several download removals language app still russian,want remove russian language,1
606,would like finalize ipad iphone connect second pair headphones via bluetooth,want connect second pair headphones via bluetooth,1
1781,enjoy variety hulu offer,app good content,1
693,unable fix error ipad,want fix error ipad,1
1856,think disney better netflix,disney better netflix,1
1037,sometimes say connect server,want connect server,1
1829,app crash start movie,app crash start movie,1
290,delete post,want delete post,1
400,somehow work better cell phone laptop,mobile app better desktop app,1
198,excellent medium conferences class,good conferencing,1
456,sometimes transmission interrupt,face transmission issue,1
526,problem support non-existent,customer service need improvement,1
1455,okay wish could put button lower participants hand host computer,want make button lower participants hand,1
610,way organize session room ipad,want organize session room ipad,1
616,background great interface,interface background need improvement,1
472,use zoom mobile usually use ipad zoom participant screen continue blink recent years,screen flicker ipad,1
1825,app lag play video,app lag play video,1
1245,could uninstall headphones see bad wozap,want uninstall headphones,1
463,please loosen lower age limit zoom,want lower age limit,1
492,iphone far better battery performance,iphone better battery performance,1
1236,exit update install,want install update,1
849,android app allow direct screen share video phone,android app allow direct screen share video,1
80,google sign-in work,want sign use google,1
1267,think need specialize computer science parallel english,want specialize computer science,1
1654,uninstall install get work,reinstall app multiple time due frequent issue,1
1812,subtitle chromecast tiny,subtitle chromecast small,1
1966,netflix amazon platforms offer even better service,netflix amazon good,1
188,app amaze meet screen share many things app,good app conduct online meet screen share,1
1405,bad software bad web service,web app bad,1
1983,disney longer family friendly,disney kid friendly,1
75,best app conference call,good app conduct conference call,1
